ncode,proba_0,proba_1,proba_2,proba_3,proba_4
N4541HD,0.9781962633132935,0.019624290987849236,0.0007265320746228099,0.0007265320746228099,0.0007265320746228099
N4397HD,0.4760121703147888,0.4652274250984192,0.019586781039834023,0.019586781039834023,0.019586781039834023
N4544HD,0.9601510167121887,0.01612238772213459,0.00790887326002121,0.00790887326002121,0.00790887326002121
N4545HD,0.0042966618202626705,0.9870769381523132,0.002875435398891568,0.002875435398891568,0.002875435398891568
N4546HD,0.9781936407089233,0.019626183435320854,0.0007266575703397393,0.0007266575703397393,0.0007266575703397393
N4550HD,0.8324763178825378,0.15862078964710236,0.002967678476125002,0.002967678476125002,0.002967678476125002
N4551HD,0.9601712226867676,0.016113966703414917,0.007904919795691967,0.007904919795691967,0.007904919795691967
N4554HD,0.0013836334692314267,0.9978031516075134,0.0002710856788326055,0.0002710856788326055,0.0002710856788326055
N4555HD,0.9601510167121887,0.01612238772213459,0.00790887326002121,0.00790887326002121,0.00790887326002121
N4556HD,0.40745818614959717,0.537959098815918,0.018194250762462616,0.018194250762462616,0.018194250762462616
N4563HD,0.9781962633132935,0.019624290987849236,0.0007265320746228099,0.0007265320746228099,0.0007265320746228099
N4567HD,0.9588847756385803,0.01670445315539837,0.008136861957609653,0.008136861957609653,0.008136861957609653
N4561HD,0.9601510167121887,0.01612238772213459,0.00790887326002121,0.00790887326002121,0.00790887326002121
N4571HD,0.004202358424663544,0.987438976764679,0.002786247292533517,0.002786247292533517,0.002786247292533517
N4574HD,0.9601442217826843,0.01612519659101963,0.007910194806754589,0.007910194806754589,0.007910194806754589
N4575HD,0.9781962633132935,0.019624290987849236,0.0007265320746228099,0.0007265320746228099,0.0007265320746228099
N4579HD,0.01861409656703472,0.925543487071991,0.01861409656703472,0.01861409656703472,0.01861409656703472
N4581HD,0.48505303263664246,0.4576062262058258,0.019113577902317047,0.019113577902317047,0.019113577902317047
N4584HD,0.9781936407089233,0.019626183435320854,0.0007266575703397393,0.0007266575703397393,0.0007266575703397393
N4578HD,0.9781962633132935,0.019624290987849236,0.0007265320746228099,0.0007265320746228099,0.0007265320746228099
N4590HD,0.8346484303474426,0.15650209784507751,0.002949788700789213,0.002949788700789213,0.002949788700789213
N4593HD,0.9588780999183655,0.016707221046090126,0.008138194680213928,0.008138194680213928,0.008138194680213928
N4151HD,0.2161336988210678,0.6507146954536438,0.04438386484980583,0.04438386484980583,0.04438386484980583
N4594HD,0.9781936407089233,0.019626183435320854,0.0007266575703397393,0.0007266575703397393,0.0007266575703397393
N4600HD,0.9601712226867676,0.016113966703414917,0.007904919795691967,0.007904919795691967,0.007904919795691967
N4605HD,0.7624285817146301,0.07403967529535294,0.054510556161403656,0.054510556161403656,0.054510556161403656
N4612HD,0.9601712226867676,0.016113966703414917,0.007904919795691967,0.007904919795691967,0.007904919795691967
N1701HC,0.004109987523406744,0.9877911806106567,0.0026996221859008074,0.0026996221859008074,0.0026996221859008074
N3705HD,0.019044842571020126,0.9238204956054688,0.019044842571020126,0.019044842571020126,0.019044842571020126
N4589HD,0.9595056772232056,0.016420530155301094,0.008024557493627071,0.008024557493627071,0.008024557493627071
N4339HD,0.978413462638855,0.019443035125732422,0.0007145474082790315,0.0007145474082790315,0.0007145474082790315
N4615HD,0.9588780999183655,0.016707221046090126,0.008138194680213928,0.008138194680213928,0.008138194680213928
N4618HD,0.4142575263977051,0.5321698784828186,0.017857560887932777,0.017857560887932777,0.017857560887932777
N4624HD,0.9781936407089233,0.019626183435320854,0.0007266575703397393,0.0007266575703397393,0.0007266575703397393
N4626HD,0.9601847529411316,0.016108347102999687,0.007902279496192932,0.007902279496192932,0.007902279496192932
